clones,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
BGM-0369,0.425586716193468,0.351639719897233,0.50350644147908,0.671135222912653
BGM-0374,-0.245433043684598,-0.15209011263117,-0.00024697437328352,0.335326476162971
BGM-0380,0.761096596132508,0.183729775721146,0.167670830910841,0.167422102788164
BGM-0382,1.09660647607157,1.02327949660187,0.50350644147908,0.335326476162991
BGM-0386,1.26436141604109,0.687459608249567,0.839342052047253,0.671135222912655
BGM-0388,1.09660647607157,0.351639719897235,-0.168164779657396,-0.168386643961583
BGM-0389,0.761096596132476,2.03073916165878,1.17517766261545,1.00694396966231
BGM-0390,0.593341656163001,-0.152090112631176,-0.504000390225586,-0.504195390711274
BGM-0394,0.25783177622396,0.5195496640734,0.503506441479081,0.503230849537809
BGM-0395,0.593341656163001,0.183729775721077,0.335588636194966,-0.168386643961577
BGM-0396,1.0966064760716,1.19118944077801,1.00725985733141,1.00694396966232
BGM-0398,0.0900768362544428,0.855369552425705,0.839342052047256,0.839039596287492
BGM-0399,-0.2454330436846,1.19118944077804,-0.000246974373285198,-0.000482270586738594
BGM-0400,-0.0776781037150423,0.183729775721076,0.50350644147908,0.503230849537812
BGM-0406,0.593341656162995,0.183729775721077,0.50350644147908,0.503230849537813
BGM-0407,0.090076836254484,0.687459608249563,0.335588636194965,0.335326476162972
BGM-0408,0.928851536102044,0.183729775721077,0.335588636194962,0.335326476162966
BGM-0410,0.257831776223983,-0.152090112631177,0.335588636194968,0.33532647616297
BGM-0411,0.257831776223961,0.0158198315449407,-0.336082584941442,-0.336291017336465
BGM-0413,0.593341656162993,-0.823729889335788,0.167670830910838,0.167422102788116
BGM-0414,0.92885153610207,0.687459608249573,0.167670830910869,-0.000482270586807736
BGM-0420,-0.2454330436846,-0.152090112631175,0.839342052047239,0.671135222912658
BGM-0422,0.593341656162999,0.85536955242572,0.335588636194965,0.167422102788097
BGM-0424,0.593341656163033,1.02327949660182,1.00725985733137,1.17484834303715
BGM-0425,1.76762623594966,1.82830180887274,0.647458415559274,0.643463146934835
BGM-0426,0.593341656162999,0.519549664073379,0.335588636194966,0.167422102788114
BGM-0427,1.59987129598015,1.52700932913025,0.335588636194952,0.335326476162991
BGM-0428,1.26436141604111,-0.152090112631174,-1.00775380607786,-0.840004137460944
BGM-0435,0.593341656163015,-0.152090112631176,-0.000246974373289164,-0.168386643961576
BGM-0436,0.928851536102049,0.35163971989723,-0.336082584941457,-0.33629101733641
BGM-0437,-0.413187983654092,0.183729775721073,0.335588636194957,0.167422102788099
BGM-0438,0.0900768362544509,0.68745960824954,-0.000246974373254925,-0.336291017336442
BGM-0439,-0.38515471088463,-0.657583483508779,-0.790944018996016,-0.80972023676393
BGM-0440,0.425586716193463,0.687459608249562,-0.168164779657388,-0.000482270586738896
BGM-0442,1.0966064760716,1.52700932913014,0.503506441479085,0.503230849537859
BGM-0444,0.593341656163039,1.35909938495411,0.671424246763205,0.839039596287458
BGM-0447,1.93538117591926,1.0223876306398,0.217082975272827,0.534215369207515
BGM-0448,0.593341656162998,0.0158198315449413,-0.336082584941439,-0.336291017336461
BGM-0449,-0.382949875594029,0.369094553689421,1.27725195458352,1.06013686126554
BGM-0451,0.957325474499066,1.37505894927585,1.10958054401876,1.06013686126552
BGM-0452,0.454722218214116,0.201433821091675,1.27725195458352,1.06013686126554
BGM-0456,-0.718018713117432,-0.636869841897,0.606566312324484,0.389504385147599
BGM-0460,0.119653380690824,-0.133887644103811,0.438894901759747,0.389504385147568
BGM-0461,0.119653380690825,0.201433821091668,0.941909133453976,0.892478742236028
BGM-0462,-0.047881038070807,0.536755286287157,0.438894901759746,0.389504385147568
BGM-0463,0.119653380690825,1.03973748408037,0.271223491194995,0.0541881470886096
BGM-0465,-0.324846540041117,0.451950218617688,0.542197957201693,0.180979093318625
BGM-0467,0.178541989112006,-0.219719870272651,-0.633286402746433,-0.658583362416515
BGM-0468,-0.828235069194073,-0.723472436940512,-0.633286402746445,-0.658583362416513
BGM-0470,-0.157050363656753,0.2840326963951,0.206345282930784,0.180979093318656
BGM-0471,-0.157050363656769,-0.0518023480501546,0.710124294337119,0.684716566759796
BGM-0472,-0.828235069194083,-0.219719870272758,-0.633286402746437,-0.826495853563488
BGM-0474,-0.660438892809779,-0.0518023480501406,-0.465360065610995,-0.490670871269455
BGM-0478,-0.828235069194074,-0.387637392495275,-0.465360065610992,-0.658583362416518
BGM-0480,-1.80105242826576,-0.810937849683236,-1.18055507540623,-1.38890244474257
BGM-0484,-0.324846540041125,-0.555554914717926,-0.465360065610997,-0.490670871269454
BGM-0489,-0.828235069194075,0.284032696395094,-1.13706541415275,-0.658583362416442
BGM-0495,0.34633816549632,0.787785263062916,0.542197957201685,0.516804075612758
BGM-0498,0.178541989111804,1.12362030750803,0.542197957201793,0.348891584465681
BGM-0499,1.01752287103363,1.62737287417599,1.04597696860797,1.02054154905382
BGM-0500,1.01774433096009,0.722642405383073,1.09745650737113,0.980062213594672
BGM-0505,1.18531904741796,1.29153782973071,0.542197957201676,0.68471656675981
BGM-0507,1.01774433096009,-0.28565195717149,0.0891118401680882,-0.0282041029591287
BGM-0508,1.18531904741795,0.619867740840322,0.374271620066224,0.348891584465691
BGM-0509,0.683303080341184,-0.826790555748762,-0.684832897029928,-0.618163461609224
BGM-0510,0.51413434188062,-1.05930748138577,-0.129507391340122,-0.49067087126945
BGM-0511,0.614844205532203,-1.29212293369783,-0.917901025382978,-1.03501019318279
BGM-0512,0.345997990570879,0.722642405383057,0.0891118401680868,0.980062213594672
BGM-0514,-1.16382742196278,0.619867740840313,-0.129507391340139,-0.658583362416512
BGM-0517,0.681930518264864,0.0504461636800423,-0.919232827034954,-1.37255919169754
BGM-0521,0.17854198911188,-0.219719870272697,-0.465360065611012,-0.154845888975464
BGM-0523,-0.157050363656766,0.116115174172455,-0.63328640274646,-0.490670871269452
BGM-0527,-0.492642716425417,-0.387637392495294,-0.465360065611001,-0.490670871269459
BGM-0529,-0.492642716425418,-0.219719870272669,-0.633286402746455,-0.154845888975389
BGM-0536,-0.324846540041118,0.116115174172438,0.206345282930813,0.0130666021716559
BGM-0537,0.178541989112005,-0.219719870272775,-0.297433728475564,-0.322758380122431
BGM-0540,0.681930518264905,-0.387637392495314,-0.633286402746424,-0.826495853563506
BGM-0541,0.849726694649267,-0.0518023480501296,0.0384189457953591,0.684716566759766
BGM-0542,-0.828235069194126,-0.891389959163218,-0.633286402746466,-0.490670871269412
BGM-0543,0.0107458127275598,-0.555554914717952,0.0384189457953354,0.348891584465688
BGM-0547,-0.324846540041107,-0.891389959163168,0.374271620066228,0.180979093318628
BGM-0549,1.68870757657105,0.386544284531574,0.089111840168074,-0.0282041029591256
BGM-0550,0.681930518264982,-0.387637392495319,0.878050631472559,1.02054154905378
BGM-0551,0.681930518264981,-0.38763739249532,0.206345282930783,0.180979093318674
BGM-0555,0.178541989111885,-0.0518023480502153,1.04597696860801,1.02054154905384
BGM-0556,-0.157050363656788,-0.219719870272769,0.0384189457953439,0.180979093318679
BGM-0557,0.0107458127275569,-0.55555491471795,-0.129507391340104,-0.154845888975376
BGM-0560,-0.492642716425444,-0.38763739249531,0.206345282930795,-0.154845888975415
