Trait,VarG,VarE,H2
Ant,0.978028168650546,0.378814756071557,0.720811636211213
MB,1.3325212251186,0.642206314958726,0.674787381081655
MP,0.895114430860914,0.414625696227229,0.68342903477422
QF,0.883123633511268,0.388494420948215,0.694488121188757
